stature,weightkg,SizeShirt
160.0,82.0,XXL
161.0,58.0,L
174.0,92.0,XXXL
160.0,84.0,XXL
157.0,84.0,XXL
161.0,66.0,L
175.0,89.0,XXL
170.0,84.0,XXL
178.0,84.0,XXL
158.0,59.0,L
168.0,68.0,XL
166.0,69.0,XL
157.0,74.0,L
165.0,69.0,L
158.0,69.0,L
157.0,56.0,L
160.0,69.0,L
158.0,46.0,L
153.0,70.0,L
159.0,83.0,XXL
158.0,78.0,XL
160.0,59.0,L
166.0,58.0,XL
160.0,74.0,L
151.0,42.0,M
170.0,85.0,XXL
170.0,66.0,XL
150.0,57.0,M
158.0,56.0,L
173.0,71.0,XXL
166.0,76.0,XL
164.0,55.0,L
161.0,56.0,L
164.0,64.0,L
158.0,76.0,XL
166.0,70.0,XL
156.0,56.0,L
172.0,81.0,XXL
156.0,72.0,L
158.0,68.0,L
178.0,92.0,XXXL
160.0,66.0,L
159.0,56.0,L
159.0,56.0,L
157.0,65.0,L
153.0,67.0,L
165.0,77.0,XL
161.0,63.0,L
164.0,69.0,L
154.0,68.0,L
161.0,57.0,L
152.0,74.0,L
165.0,58.0,L
160.0,75.0,L
170.0,74.0,XL
167.0,81.0,XXL
172.0,76.0,XXL
167.0,82.0,XXL
179.0,79.0,XXL
164.0,73.0,L
158.0,62.0,L
158.0,65.0,L
164.0,70.0,L
156.0,49.0,L
165.0,64.0,L
165.0,65.0,L
162.0,65.0,L
163.0,85.0,XXL
171.0,63.0,XXL
160.0,64.0,L
160.0,60.0,L
157.0,70.0,L
160.0,65.0,L
159.0,77.0,XL
160.0,52.0,L
164.0,68.0,L
171.0,101.0,XXXL
163.0,48.0,L
165.0,82.0,XXL
162.0,72.0,L
153.0,61.0,L
169.0,69.0,XL
165.0,75.0,L
161.0,78.0,XL
176.0,81.0,XXL
158.0,48.0,L
159.0,59.0,L
178.0,74.0,XXL
170.0,79.0,XL
165.0,64.0,L
161.0,72.0,L
166.0,60.0,XL
162.0,63.0,L
163.0,76.0,XL
174.0,69.0,XXL
168.0,81.0,XXL
158.0,50.0,L
161.0,66.0,L
155.0,40.0,M
158.0,73.0,L
168.0,77.0,XL
159.0,63.0,L
169.0,76.0,XL
164.0,69.0,L
157.0,57.0,L
160.0,61.0,L
166.0,66.0,XL
163.0,85.0,XXL
169.0,60.0,XL
166.0,65.0,XL
171.0,71.0,XXL
159.0,61.0,L
165.0,100.0,XXXL
158.0,79.0,XL
165.0,67.0,L
166.0,74.0,XL
149.0,50.0,M
163.0,58.0,L
165.0,69.0,L
159.0,59.0,L
171.0,80.0,XXL
172.0,78.0,XXL
174.0,79.0,XXL
170.0,74.0,XL
168.0,74.0,XL
158.0,56.0,L
161.0,82.0,XXL
165.0,77.0,XL
167.0,75.0,XL
177.0,88.0,XXL
157.0,66.0,L
171.0,84.0,XXL
152.0,55.0,M
165.0,98.0,XXXL
153.0,53.0,M
156.0,58.0,L
156.0,68.0,L
171.0,72.0,XXL
163.0,75.0,L
163.0,73.0,L
175.0,70.0,XXL
161.0,59.0,L
174.0,83.0,XXL
156.0,63.0,L
166.0,54.0,XL
161.0,61.0,L
165.0,82.0,XXL
162.0,68.0,L
166.0,57.0,XL
168.0,61.0,XL
167.0,67.0,XL
162.0,55.0,L
167.0,58.0,XL
161.0,59.0,L
155.0,51.0,M
164.0,59.0,L
173.0,67.0,XXL
152.0,52.0,M
167.0,56.0,XL
158.0,77.0,XL
164.0,73.0,L
171.0,66.0,XXL
162.0,71.0,L
163.0,59.0,L
171.0,68.0,XXL
173.0,77.0,XXL
172.0,69.0,XXL
168.0,75.0,XL
168.0,64.0,XL
168.0,84.0,XXL
182.0,68.0,XXXL
167.0,64.0,XL
172.0,68.0,XXL
161.0,65.0,L
149.0,46.0,M
161.0,61.0,L
177.0,92.0,XXXL
158.0,66.0,L
173.0,82.0,XXL
166.0,59.0,XL
158.0,72.0,L
171.0,77.0,XXL
165.0,61.0,L
164.0,68.0,L
172.0,68.0,XXL
157.0,58.0,L
167.0,74.0,XL
158.0,82.0,XXL
158.0,55.0,L
167.0,64.0,XL
158.0,56.0,L
163.0,58.0,L
158.0,59.0,L
165.0,78.0,XL
155.0,65.0,L
173.0,83.0,XXL
150.0,64.0,L
161.0,80.0,XL
164.0,67.0,L
172.0,84.0,XXL
166.0,78.0,XL
151.0,55.0,M
170.0,83.0,XXL
162.0,69.0,L
160.0,78.0,XL
174.0,85.0,XXL
158.0,67.0,L
166.0,64.0,XL
169.0,61.0,XL
173.0,84.0,XXL
164.0,79.0,XL
158.0,72.0,L
154.0,64.0,L
165.0,75.0,L
152.0,55.0,M
165.0,77.0,XL
176.0,76.0,XXL
160.0,78.0,XL
160.0,71.0,L
173.0,67.0,XXL
166.0,73.0,XL
158.0,75.0,L
174.0,77.0,XXL
167.0,81.0,XXL
168.0,66.0,XL
173.0,79.0,XXL
168.0,76.0,XL
171.0,65.0,XXL
154.0,51.0,M
163.0,59.0,L
156.0,65.0,L
153.0,50.0,M
158.0,68.0,L
164.0,62.0,L
166.0,56.0,XL
165.0,66.0,L
173.0,68.0,XXL
174.0,79.0,XXL
159.0,90.0,XXL
162.0,78.0,XL
162.0,70.0,L
151.0,50.0,M
152.0,62.0,L
155.0,66.0,L
173.0,92.0,XXXL
160.0,67.0,L
159.0,54.0,L
174.0,78.0,XXL
168.0,59.0,XL
175.0,76.0,XXL
161.0,70.0,L
162.0,70.0,L
164.0,58.0,L
170.0,59.0,XL
158.0,75.0,L
163.0,66.0,L
152.0,68.0,L
166.0,75.0,XL
163.0,61.0,L
174.0,73.0,XXL
170.0,70.0,XL
161.0,75.0,L
167.0,73.0,XL
163.0,64.0,L
167.0,59.0,XL
161.0,56.0,L
