stature,weightkg,SizeShirt
182.0,113.0,XXL
177.0,84.0,L
179.0,111.0,XXL
197.0,90.0,XXXL
181.0,92.0,L
178.0,86.0,L
171.0,84.0,L
186.0,93.0,XL
176.0,92.0,L
162.0,72.0,M
172.0,88.0,L
167.0,75.0,M
174.0,85.0,L
174.0,98.0,XL
180.0,74.0,M
177.0,68.0,S
173.0,67.0,S
174.0,73.0,M
175.0,64.0,S
167.0,76.0,M
185.0,86.0,XL
180.0,80.0,M
172.0,80.0,M
171.0,77.0,M
167.0,88.0,L
185.0,90.0,XL
195.0,86.0,XXL
170.0,84.0,L
192.0,120.0,XXL
168.0,76.0,M
176.0,99.0,XL
186.0,105.0,XXL
176.0,87.0,L
166.0,75.0,M
165.0,86.0,L
182.0,96.0,XL
185.0,72.0,XL
179.0,78.0,M
170.0,75.0,M
177.0,74.0,M
171.0,81.0,L
176.0,87.0,L
165.0,69.0,M
177.0,82.0,L
192.0,99.0,XXL
175.0,86.0,L
159.0,72.0,M
182.0,72.0,L
182.0,71.0,L
181.0,127.0,XXXL
182.0,96.0,XL
167.0,101.0,XXL
172.0,86.0,L
171.0,84.0,L
172.0,83.0,L
176.0,73.0,M
170.0,73.0,M
174.0,76.0,M
168.0,85.0,L
158.0,56.0,S
173.0,75.0,M
182.0,94.0,L
163.0,92.0,L
173.0,90.0,L
169.0,102.0,XXL
166.0,65.0,S
185.0,97.0,XL
187.0,113.0,XXL
167.0,89.0,L
180.0,76.0,M
189.0,124.0,XXXL
179.0,87.0,L
179.0,68.0,M
172.0,73.0,M
168.0,75.0,M
174.0,70.0,M
183.0,101.0,XXL
175.0,88.0,L
185.0,126.0,XXXL
170.0,84.0,L
171.0,69.0,M
175.0,71.0,M
178.0,109.0,XXL
183.0,104.0,XXL
163.0,63.0,S
167.0,92.0,L
174.0,95.0,L
166.0,70.0,M
167.0,77.0,M
168.0,78.0,M
174.0,101.0,XXL
177.0,102.0,XXL
183.0,91.0,L
173.0,78.0,M
166.0,78.0,M
179.0,93.0,L
181.0,79.0,L
178.0,81.0,L
175.0,62.0,S
167.0,75.0,M
173.0,74.0,M
164.0,81.0,L
166.0,71.0,M
164.0,86.0,L
181.0,109.0,XXL
170.0,78.0,M
185.0,94.0,XL
176.0,83.0,L
186.0,83.0,XL
176.0,98.0,XL
181.0,95.0,L
179.0,96.0,XL
158.0,54.0,XS
176.0,77.0,M
188.0,81.0,XL
168.0,88.0,L
169.0,79.0,M
170.0,86.0,L
164.0,85.0,L
178.0,100.0,XL
166.0,80.0,M
188.0,102.0,XXL
174.0,92.0,L
171.0,65.0,S
173.0,86.0,L
177.0,81.0,L
161.0,70.0,M
164.0,87.0,L
178.0,78.0,M
173.0,73.0,M
176.0,81.0,L
176.0,61.0,S
183.0,73.0,L
176.0,68.0,S
184.0,91.0,L
185.0,79.0,XL
174.0,85.0,L
170.0,69.0,M
180.0,107.0,XXL
171.0,65.0,S
175.0,69.0,M
171.0,70.0,M
177.0,84.0,L
186.0,94.0,XL
175.0,71.0,M
192.0,101.0,XXL
170.0,70.0,M
178.0,82.0,L
176.0,81.0,L
181.0,80.0,L
183.0,81.0,L
173.0,68.0,S
186.0,90.0,XL
166.0,90.0,L
185.0,109.0,XXL
157.0,77.0,M
172.0,90.0,L
182.0,99.0,XL
169.0,77.0,M
172.0,62.0,S
178.0,79.0,M
169.0,66.0,S
184.0,86.0,L
177.0,76.0,M
171.0,85.0,L
177.0,94.0,L
174.0,79.0,M
174.0,85.0,L
176.0,89.0,L
180.0,120.0,XXL
178.0,74.0,M
177.0,80.0,M
172.0,73.0,M
171.0,77.0,M
180.0,60.0,M
178.0,72.0,M
171.0,83.0,L
174.0,78.0,M
161.0,66.0,S
165.0,76.0,M
182.0,93.0,L
173.0,93.0,L
166.0,75.0,M
185.0,83.0,XL
176.0,75.0,M
195.0,100.0,XXL
180.0,104.0,XXL
170.0,69.0,M
174.0,91.0,L
164.0,86.0,L
170.0,83.0,L
183.0,99.0,XL
182.0,64.0,L
165.0,61.0,S
172.0,70.0,M
170.0,88.0,L
172.0,83.0,L
183.0,118.0,XXL
172.0,85.0,L
174.0,89.0,L
180.0,75.0,M
173.0,77.0,M
168.0,83.0,L
171.0,74.0,M
178.0,63.0,M
175.0,88.0,L
175.0,72.0,M
175.0,62.0,S
178.0,75.0,M
176.0,96.0,XL
170.0,85.0,L
176.0,90.0,L
175.0,85.0,L
171.0,86.0,L
180.0,92.0,L
172.0,91.0,L
181.0,94.0,L
172.0,73.0,M
159.0,66.0,S
171.0,78.0,M
173.0,120.0,XXL
181.0,99.0,XL
172.0,80.0,M
181.0,95.0,L
173.0,88.0,L
176.0,75.0,M
179.0,81.0,L
172.0,97.0,XL
185.0,94.0,XL
171.0,91.0,L
174.0,76.0,M
173.0,90.0,L
184.0,81.0,L
180.0,106.0,XXL
171.0,78.0,M
180.0,101.0,XXL
180.0,81.0,L
174.0,84.0,L
173.0,100.0,XL
170.0,92.0,L
168.0,65.0,S
180.0,86.0,L
189.0,86.0,XXL
176.0,91.0,L
165.0,77.0,M
174.0,63.0,S
177.0,87.0,L
178.0,89.0,L
183.0,86.0,L
176.0,82.0,L
166.0,60.0,S
189.0,102.0,XXL
170.0,68.0,S
192.0,88.0,XXL
178.0,71.0,M
177.0,81.0,L
177.0,88.0,L
171.0,86.0,L
174.0,94.0,L
176.0,95.0,L
172.0,62.0,S
181.0,77.0,L
178.0,72.0,M
165.0,97.0,XL
171.0,87.0,L
164.0,107.0,XXL
171.0,87.0,L
180.0,74.0,M
167.0,64.0,S
173.0,65.0,S
175.0,87.0,L
180.0,94.0,L
173.0,83.0,L
177.0,74.0,M
185.0,108.0,XXL
172.0,101.0,XXL
176.0,90.0,L
170.0,83.0,L
174.0,86.0,L
183.0,101.0,XXL
174.0,92.0,L
172.0,80.0,M
174.0,97.0,XL
173.0,82.0,L
182.0,65.0,L
174.0,87.0,L
179.0,91.0,L
174.0,111.0,XXL
174.0,74.0,M
183.0,94.0,L
170.0,69.0,M
180.0,96.0,XL
175.0,88.0,L
186.0,98.0,XL
180.0,79.0,M
170.0,91.0,L
177.0,90.0,L
172.0,100.0,XL
182.0,62.0,L
180.0,116.0,XXL
168.0,68.0,S
173.0,65.0,S
172.0,80.0,M
176.0,103.0,XXL
181.0,107.0,XXL
181.0,73.0,L
180.0,95.0,L
182.0,86.0,L
165.0,77.0,M
162.0,92.0,L
171.0,78.0,M
164.0,86.0,L
168.0,96.0,XL
165.0,60.0,S
170.0,90.0,L
178.0,80.0,M
164.0,75.0,M
168.0,70.0,M
179.0,80.0,M
183.0,68.0,L
171.0,84.0,L
173.0,92.0,L
166.0,97.0,XL
178.0,110.0,XXL
174.0,80.0,M
165.0,86.0,L
180.0,97.0,XL
173.0,116.0,XXL
172.0,97.0,XL
173.0,79.0,M
178.0,85.0,L
183.0,81.0,L
172.0,92.0,L
190.0,114.0,XXL
163.0,88.0,L
178.0,87.0,L
165.0,87.0,L
174.0,73.0,M
176.0,99.0,XL
168.0,90.0,L
175.0,88.0,L
180.0,85.0,L
181.0,86.0,L
167.0,84.0,L
189.0,108.0,XXL
180.0,81.0,L
169.0,91.0,L
172.0,93.0,L
174.0,89.0,L
172.0,98.0,XL
174.0,82.0,L
167.0,77.0,M
174.0,90.0,L
177.0,88.0,L
178.0,104.0,XXL
160.0,63.0,S
170.0,97.0,XL
178.0,79.0,M
176.0,72.0,M
178.0,65.0,M
180.0,124.0,XXXL
170.0,82.0,L
177.0,75.0,M
172.0,77.0,M
174.0,77.0,M
171.0,78.0,M
180.0,75.0,M
174.0,87.0,L
194.0,91.0,XXL
178.0,90.0,L
182.0,82.0,L
191.0,87.0,XXL
183.0,86.0,L
179.0,93.0,L
177.0,69.0,M
173.0,72.0,M
170.0,70.0,M
180.0,83.0,L
170.0,79.0,M
173.0,122.0,XXXL
178.0,97.0,XL
161.0,68.0,S
163.0,58.0,S
177.0,96.0,XL
177.0,66.0,S
173.0,93.0,L
171.0,77.0,M
181.0,90.0,L
161.0,60.0,S
167.0,73.0,M
174.0,102.0,XXL
183.0,67.0,L
172.0,73.0,M
171.0,94.0,L
182.0,75.0,L
194.0,88.0,XXL
188.0,65.0,XL
183.0,74.0,L
177.0,75.0,M
179.0,109.0,XXL
169.0,66.0,S
170.0,104.0,XXL
170.0,81.0,L
181.0,87.0,L
170.0,69.0,M
178.0,83.0,L
175.0,67.0,S
174.0,95.0,L
162.0,91.0,L
177.0,82.0,L
172.0,81.0,L
195.0,99.0,XXL
172.0,70.0,M
171.0,59.0,S
172.0,89.0,L
169.0,82.0,L
169.0,79.0,M
173.0,78.0,M
167.0,76.0,M
175.0,66.0,S
189.0,120.0,XXL
176.0,77.0,M
171.0,74.0,M
174.0,93.0,L
177.0,88.0,L
171.0,84.0,L
